page_url,page_title,date,pageviews,unique_pageviews
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-05,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-22,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-05,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-15,2,2
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-25,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-31,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-03,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-01,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-23,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-04,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-03-20,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-04,1,1
/,14-week Data Analysis course | CodeClan,2020-04-08,1,1
/,Page not found - CodeClan,2020-04-08,5,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-02,1,1
/,2020 NEW Short Course - CodeClan,2020-04-08,1,1
/,2020 NEW Short Course - CodeClan,2020-04-08,5,1
/,Thank you for joining How Software Applications Work - CodeClan,2020-04-14,1,1
/,Thank you for joining Managing Growth with Agile - CodeClan,2020-04-14,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-02,35,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-01,21,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-02,23,2
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-03,2,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-07,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-07,1,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-01,6,1
/,"Digital Skills & Coding Academy - Edinburgh, Glasgow & Inverness - CodeClan",2020-04-06,1,1
/,You searched for booklet - CodeClan,2020-03-26,1,1
/,You searched for Booklet - CodeClan,2020-03-26,2,2
/,You searched for Coronovirus - CodeClan,2020-03-22,3,2
/,You searched for intro to programming - CodeClan,2020-04-01,1,1
/,You searched for lillian hicks - CodeClan,2020-03-29,1,1
/,You searched for meet our team - CodeClan,2020-03-30,1,1
/,You searched for meet the team - CodeClan,2020-03-17,1,1
/,You searched for meet the team - CodeClan,2020-03-30,1,1
/,You searched for neu - CodeClan,2020-03-29,1,1
/,You searched for vicky - CodeClan,2020-03-29,2,1
/,You searched for vivky - CodeClan,2020-03-29,1,1
/15668-2/,Page not found - CodeClan,2020-04-12,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-24,2,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-25,23,5
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-26,4,4
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-27,93,7
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-30,6,4
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-31,8,4
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-01,5,3
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-02,3,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-03,104,12
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-06,132,5
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,89,23
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-08,29,8
/2020-new-data-analysis/,Page not found - CodeClan,2020-03-25,2,2
/2020-new-data-analysis/,Page not found - CodeClan,2020-03-30,2,2
/2020-new-data-analysis/,Page not found - CodeClan,2020-03-31,2,2
/2020-new-data-analysis/,Page not found - CodeClan,2020-04-09,2,2
/2020-new-data-analysis/,Page not found - CodeClan,2020-04-15,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-24,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-24,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-24,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-25,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-25,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-25,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-25,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-25,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-25,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-25,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-26,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-27,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-30,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-30,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-30,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-30,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-31,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-03-31,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-01,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-01,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-02,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-03,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-03,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-03,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-03,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-03,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-03,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-03,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-03,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-03,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-03,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-06,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-06,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-06,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-06,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-06,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-06,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-06,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-06,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-08,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-08,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-08,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-08,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-03,11,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-07,1,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-08,8,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-06,15,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-03,2,1
/2020-new-data-analysis/,2020 NEW Data Analysis - CodeClan,2020-04-03,20,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-08,3,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-09,4,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-10,11,5
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-12,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-13,9,3
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-14,4,4
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-08,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-08,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-08,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-09,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-09,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-09,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-09,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-09,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-10,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-10,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-10,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-13,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-13,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-14,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-10,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-14,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-14,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-09,1,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-13,2,1
/2020-new-managing-software-development-teams/,2020 NEW Managing Software Development Teams - CodeClan,2020-04-10,2,1
/2020-new-short-course-2__trashed/,Page not found - CodeClan,2020-04-08,1,1
/2020-new-short-course-2/,2020 NEW Short Course - CodeClan,2020-04-08,6,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-08,9,2
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-09,6,4
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-14,4,3
/2020-new-short-course-2/,2020 NEW Short Course - CodeClan,2020-04-08,1,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-08,1,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-08,1,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-08,1,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-08,1,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-09,1,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-09,1,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-09,1,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-13,1,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-14,1,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-14,1,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-14,1,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-14,1,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-14,1,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-14,12,1
/2020-new-short-course-2/,2020 NEW Short Course 2 - CodeClan,2020-04-08,1,1
/2020-new-short-course-3/,2020 NEW Short Course 3 - CodeClan,2020-04-14,2,2
/2020-new-short-course-3/,2020 NEW Short Course 3 - CodeClan,2020-04-14,1,1
/2020-new-short-course-3/,2020 NEW Short Course 3 - CodeClan,2020-04-14,1,1
/2020-new-short-course-3/,2020 NEW Short Course 3 - CodeClan,2020-04-14,1,1
/2020-new-short-course/,2020 NEW Short Course - CodeClan,2020-04-07,10,5
/2020-new-short-course/,2020 NEW Short Course - CodeClan,2020-04-08,7,2
/2020-new-short-course/,Page not found - CodeClan,2020-04-09,2,1
/2020-new-short-course/,2020 NEW Short Course - CodeClan,2020-04-07,1,1
/2020-new-short-course/,2020 NEW Short Course - CodeClan,2020-04-07,1,1
/2020-new-short-course/,2020 NEW Short Course - CodeClan,2020-04-07,1,1
/2020-new-short-course/,2020 NEW Short Course - CodeClan,2020-04-07,1,1
/2020-new-short-course/,2020 NEW Short Course - CodeClan,2020-04-07,1,1
/2020-new-short-course/,2020 NEW Short Course - CodeClan,2020-04-08,1,1
/2020-new-short-course/,2020 NEW Short Course - CodeClan,2020-04-08,1,1
/2020-new-short-course/,2020 NEW Short Course - CodeClan,2020-04-08,1,1
/2020-new-short-course/,2020 NEW Short Course - CodeClan,2020-04-08,1,1
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-15,3,3
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-16,11,10
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-17,11,8
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-18,10,7
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-19,4,4
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-20,11,8
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-21,5,3
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-22,3,3
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-23,5,5
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-25,9,6
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-26,4,4
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-27,7,7
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-28,2,2
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-29,4,4
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-30,9,7
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-03-31,7,7
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-04-01,11,8
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-04-03,8,5
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-04-04,4,4
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-04-05,1,1
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-04-06,2,2
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-04-07,4,4
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-04-08,19,15
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-04-09,10,8
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-04-10,4,3
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-04-11,5,4
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-04-12,1,1
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-04-13,14,12
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-04-14,8,7
/about-us/,About CodeClan - Scotland's award-winning digital skills academy,2020-04-15,12,10
/about-us/become-a-data-instructor/,Become a CodeClan Data Instructor - CodeClan Edinburgh & Glasgow,2020-03-23,1,1
/about-us/become-a-data-instructor/,Become a CodeClan Data Instructor - CodeClan Edinburgh & Glasgow,2020-03-26,1,1
/about-us/become-a-data-instructor/,Become a CodeClan Data Instructor - CodeClan Edinburgh & Glasgow,2020-03-29,2,1
/about-us/become-a-data-instructor/,Become a CodeClan Data Instructor - CodeClan Edinburgh & Glasgow,2020-04-01,1,1
/about-us/become-a-data-instructor/,Become a CodeClan Data Instructor - CodeClan Edinburgh & Glasgow,2020-04-04,1,1
/about-us/become-a-data-instructor/,Become a CodeClan Data Instructor - CodeClan Edinburgh & Glasgow,2020-04-08,2,2
/about-us/become-a-data-instructor/,Become a CodeClan Data Instructor - CodeClan Edinburgh & Glasgow,2020-04-10,4,4
/about-us/become-a-data-instructor/,Become a CodeClan Data Instructor - CodeClan Edinburgh & Glasgow,2020-04-11,1,1
/about-us/become-a-data-instructor/,Become a CodeClan Data Instructor - CodeClan Edinburgh & Glasgow,2020-04-14,1,1
/about-us/become-a-ta-data/,Become a CodeClan Teaching Assistant for Data - CodeClan Edinburgh & Glasgow,2020-03-15,1,1
/about-us/become-a-ta-data/,Become a CodeClan Teaching Assistant for Data - CodeClan Edinburgh & Glasgow,2020-03-23,2,2
/about-us/become-a-ta-data/,Become a CodeClan Teaching Assistant for Data - CodeClan Edinburgh & Glasgow,2020-03-26,1,1
